alpha,Stiffness (K),Viscosity (D),Mass (M),(K2),(KD),(D2),bias
,,,,,,,
1.00E-08,1558.352723,-0.566408704,0.049467306,127144.9722,871.6376193,-0.015418792,-0.078563483
0.1425926,0,0,-0.31822997,0,0,0,2.851670507
,,,,,,,
0.143143151,0,0,-0.317768723,0,0,0,2.851671173
,,,,,,,
0.143693701,0,0,-0.317307477,0,0,0,2.85167184
,,,,,,,
0.144244252,0,0,-0.316846231,0,0,0,2.851672507
,,,,,,,
0.144794802,0,0,-0.316384985,0,0,0,2.851673174
,,,,,,,
0.145345353,0,0,-0.315923739,0,0,0,2.851673841
,,,,,,,
0.145895903,0,0,-0.315462493,0,0,0,2.851674508
,,,,,,,
0.146446454,0,0,-0.315001247,0,0,0,2.851675174
,,,,,,,
0.146997004,0,0,-0.314540001,0,0,0,2.851675841
,,,,,,,
0.147547555,0,0,-0.314078755,0,0,0,2.851676508
,,,,,,,
0.148098105,0,0,-0.313617509,0,0,0,2.851677175
,,,,,,,
0.148648656,0,0,-0.313156263,0,0,0,2.851677842
,,,,,,,
0.149199206,0,0,-0.312695017,0,0,0,2.851678508
,,,,,,,
0.149749757,0,0,-0.312233771,0,0,0,2.851679175
,,,,,,,
0.150300308,0,0,-0.311772525,0,0,0,2.851679842
,,,,,,,
0.150850858,0,0,-0.311311279,0,0,0,2.851680509
,,,,,,,
0.151401409,0,0,-0.310850033,0,0,0,2.851681176
,,,,,,,
0.151951959,0,0,-0.310388787,0,0,0,2.851681843
,,,,,,,
0.15250251,0,0,-0.309927541,0,0,0,2.851682509
,,,,,,,
0.15305306,0,0,-0.309466294,0,0,0,2.851683176
,,,,,,,
0.153603611,0,0,-0.309005048,0,0,0,2.851683843
,,,,,,,
0.154154161,0,0,-0.308543802,0,0,0,2.85168451
,,,,,,,
0.154704712,0,0,-0.308082556,0,0,0,2.851685177
,,,,,,,
0.155255262,0,0,-0.30762131,0,0,0,2.851685843
,,,,,,,
0.155805813,0,0,-0.307160064,0,0,0,2.85168651
,,,,,,,
0.156356364,0,0,-0.306698818,0,0,0,2.851687177
,,,,,,,
0.156906914,0,0,-0.306237572,0,0,0,2.851687844
,,,,,,,
0.157457465,0,0,-0.305776326,0,0,0,2.851688511
,,,,,,,
0.158008015,0,0,-0.30531508,0,0,0,2.851689178
,,,,,,,
0.158558566,0,0,-0.304853834,0,0,0,2.851689844
,,,,,,,
0.159109116,0,0,-0.304392588,0,0,0,2.851690511
,,,,,,,
0.159659667,0,0,-0.303931342,0,0,0,2.851691178
,,,,,,,
0.160210217,0,0,-0.303470096,0,0,0,2.851691845
,,,,,,,
0.160760768,0,0,-0.30300885,0,0,0,2.851692512
,,,,,,,
0.161311318,0,0,-0.302547604,0,0,0,2.851693178
,,,,,,,
0.161861869,0,0,-0.302086358,0,0,0,2.851693845
,,,,,,,
0.162412419,0,0,-0.301625111,0,0,0,2.851694512
,,,,,,,
0.16296297,0,0,-0.301163865,0,0,0,2.851695179
,,,,,,,
0.163513521,0,0,-0.300702619,0,0,0,2.851695846
,,,,,,,
